index_type,nlist,nprobe,recall,query_per_sec,loss
IVF_FLAT,101,1,35.03,13865.926146318889,6010865.926146319
IVF_FLAT,201,1,27.33,14441.206445393196,6781441.206445393
IVF_FLAT,301,1,24.88,14846.04275803483,7026846.042758035
IVF_FLAT,401,1,24.88,14262.944196959908,7026262.94419696
IVF_FLAT,501,1,24.88,14554.964083700594,7026554.9640837
IVF_FLAT,601,1,24.88,15207.222363221055,7027207.222363221
IVF_FLAT,701,1,24.88,13145.815834012412,7025145.815834013
IVF_FLAT,801,1,24.88,14707.567150571567,7026707.567150571
IVF_FLAT,901,1,24.88,14683.367757745493,7026683.367757745
IVF_FLAT,1001,1,24.88,14630.102200983642,7026630.102200984
IVF_FLAT,1101,1,24.88,14612.772184092257,7026612.772184093
IVF_FLAT,1101,101,100.0,12301.45471609573,12306.45471609573
IVF_FLAT,1201,1,24.88,14686.452606883997,7026686.452606884
IVF_FLAT,1201,101,100.0,12245.428004204134,12250.428004204134
IVF_FLAT,1301,1,24.88,15232.62756491738,7027232.627564917
IVF_FLAT,1301,101,100.0,11666.724152318431,11671.724152318431
IVF_FLAT,1401,1,24.88,14637.250043622404,7026637.250043622
IVF_FLAT,1401,101,100.0,12616.724822524366,12621.724822524366
IVF_FLAT,1501,1,24.88,14465.112429300592,7026465.1124293
IVF_FLAT,1501,101,100.0,11017.636397068482,11022.636397068482
IVF_FLAT,1601,1,24.88,14376.363324764354,7026376.363324764
IVF_FLAT,1601,101,100.0,11758.302262341958,11763.302262341958
IVF_FLAT,1701,1,24.88,14498.613847696084,7026498.613847696
IVF_FLAT,1701,101,100.0,12505.75151316378,12510.75151316378
IVF_FLAT,1801,1,24.88,14308.194036978915,7026308.194036979
IVF_FLAT,1801,101,100.0,12256.520849770608,12261.520849770608
IVF_FLAT,1901,1,24.88,14632.654200390734,7026632.654200391
IVF_FLAT,1901,101,100.0,12271.581965534391,12276.581965534391
IVF_FLAT,2001,1,24.88,14314.053648215138,7026314.053648215
IVF_FLAT,2001,101,100.0,11264.715045388622,11269.715045388622
IVF_FLAT,2101,1,24.88,14203.054417391892,7026203.054417392
IVF_FLAT,2101,101,100.0,10603.994539111089,10608.994539111089
IVF_FLAT,2101,201,100.0,9186.350694292349,9191.350694292349
IVF_FLAT,2201,1,24.88,15058.174768435414,7027058.174768436
IVF_FLAT,2201,101,100.0,12530.783938814531,12535.783938814531
IVF_FLAT,2201,201,100.0,9717.13464924474,9722.13464924474
IVF_FLAT,2301,1,24.88,14055.507523206326,7026055.507523206
IVF_FLAT,2301,101,100.0,11654.405512795576,11659.405512795576
IVF_FLAT,2301,201,100.0,10299.089011663596,10304.089011663596
IVF_FLAT,2401,1,24.88,13831.631710856089,7025831.631710856
IVF_FLAT,2401,101,100.0,11425.508035957504,11430.508035957504
IVF_FLAT,2401,201,100.0,9424.766869649236,9429.766869649236
IVF_FLAT,2501,1,24.88,14746.86730890936,7026746.867308909
IVF_FLAT,2501,101,100.0,11369.142361487586,11374.142361487586
IVF_FLAT,2501,201,100.0,9742.640124503496,9747.640124503496
IVF_FLAT,2601,1,24.88,14421.345069453995,7026421.345069454
IVF_FLAT,2601,101,100.0,11738.229038396956,11743.229038396956
IVF_FLAT,2601,201,100.0,11125.769914321334,11130.769914321334
IVF_FLAT,2701,1,24.88,15415.70126433402,7027415.701264334
IVF_FLAT,2701,101,100.0,12791.412015858494,12796.412015858494
IVF_FLAT,2701,201,100.0,9642.07816091954,9647.07816091954
IVF_FLAT,2801,1,24.88,14443.692964633768,7026443.692964634
IVF_FLAT,2801,101,100.0,12515.453704532569,12520.453704532569
IVF_FLAT,2801,201,100.0,9702.748218747109,9707.748218747109
IVF_FLAT,2901,1,24.88,14555.469183786783,7026555.469183787
IVF_FLAT,2901,101,100.0,12464.128852040058,12469.128852040058
IVF_FLAT,2901,201,100.0,9087.628374572085,9092.628374572085
IVF_FLAT,3001,1,24.88,14522.71043246425,7026522.710432464
IVF_FLAT,3001,101,100.0,12609.13900913901,12614.13900913901
IVF_FLAT,3001,201,100.0,10164.313582939538,10169.313582939538
IVF_FLAT,3101,1,24.88,15015.049760148922,7027015.049760149
IVF_FLAT,3101,101,100.0,12111.764366156513,12116.764366156513
IVF_FLAT,3101,201,100.0,9786.513603061272,9791.513603061272
IVF_FLAT,3101,301,100.0,9400.264461328134,9405.264461328134
IVF_FLAT,3201,1,24.88,13956.357102452332,7025956.357102453
IVF_FLAT,3201,101,100.0,13362.762839301644,13367.762839301644
IVF_FLAT,3201,201,100.0,11349.146305165465,11354.146305165465
IVF_FLAT,3201,301,100.0,10505.457733249845,10510.457733249845
IVF_FLAT,3301,1,24.88,14761.91883996762,7026761.918839968
IVF_FLAT,3301,101,100.0,13433.809493306002,13438.809493306002
IVF_FLAT,3301,201,100.0,10507.299964928105,10512.299964928105
IVF_FLAT,3301,301,100.0,10061.178276722318,10066.178276722318
IVF_FLAT,3401,1,24.88,14570.132351408622,7026570.132351409
IVF_FLAT,3401,101,100.0,12089.770270659788,12094.770270659788
IVF_FLAT,3401,201,100.0,9705.667013768369,9710.667013768369
IVF_FLAT,3401,301,100.0,9667.636279820214,9672.636279820214
IVF_FLAT,3501,1,24.88,13827.527775030494,7025827.527775031
IVF_FLAT,3501,101,100.0,12287.760004687409,12292.760004687409
IVF_FLAT,3501,201,100.0,10736.181431899044,10741.181431899044
IVF_FLAT,3501,301,100.0,9629.681329782348,9634.681329782348
IVF_FLAT,3601,1,24.88,14188.64043841548,7026188.640438415
IVF_FLAT,3601,101,100.0,12171.161602971477,12176.161602971477
IVF_FLAT,3601,201,100.0,10183.315528794794,10188.315528794794
IVF_FLAT,3601,301,100.0,9217.035116248408,9222.035116248408
IVF_FLAT,3701,1,24.88,14047.034394989783,7026047.03439499
IVF_FLAT,3701,101,100.0,12338.728561762717,12343.728561762717
IVF_FLAT,3701,201,100.0,10292.77055214724,10297.77055214724
IVF_FLAT,3701,301,100.0,9487.229133680165,9492.229133680165
IVF_FLAT,3801,1,24.88,14353.240709054822,7026353.240709055
